#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    18:30:28       3   1637      4      0 
 20250823    18:30:33       0   1637      4      0 
 20250823    18:30:33       1   1709      4      0 
 20250823    18:30:33       2   1709      4      0 
 20250823    18:30:33       3   1637      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    18:30:38       0   1637      4      0 
 20250823    18:30:38       1   1711      4      0 
 20250823    18:30:38       2   1709      4      0 
 20250823    18:30:38       3   1637      4      0 
 20250823    18:30:43       0   1637      4      0 
 20250823    18:30:43       1   2419      4      0 
 20250823    18:30:43       2   1709      4      0 
 20250823    18:30:43       3   1637      4      0 
 20250823    18:30:48       0   1639      4      0 
 20250823    18:30:48       1   5013      4      0 
 20250823    18:30:48       2   1709      4      0 
 20250823    18:30:48       3   1637      4      0 
 20250823    18:30:53       0   4929      4      0 
 20250823    18:30:53       1   4563      4      0 
 20250823    18:30:53       2   1709      4      0 
 20250823    18:30:53       3   1639      4      0 
 20250823    18:30:58       0   4929      4      0 
 20250823    18:30:58       1    628      2      0 
 20250823    18:30:58       2   1709      4      0 
 20250823    18:30:58       3   1641      4      0 
